Year,Film,winner
1955,Marty,1
1955,East of Eden,0
1955,Summertime,0
1955,Picnic,0
1955,Bad Day at Black Rock,0
1956,Giant,1
1956,Around the World in 80 Days,0
1956,The King and I,0
1956,War and Peace,0
1956,Friendly Persuasion,0
1957,The Bridge on the River Kwai,1
1957,Sayonara,0
1957,12 Angry Men,0
1957,Peyton Place,0
1957,Witness for the Prosecution,0
1958,Gigi,1
1958,Cat on a Hot Tin Roof,0
1958,The Defiant Ones,0
1958,The Inn of the Sixth Happiness,0
1958,I Want to Live!,0
1959,Ben-Hur,1
1959,Room at the Top,0
1959,The Diary of Anne Frank,0
1959,Some Like It Hot,0
1959,The Nun's Story,0
1960,The Apartment,1
1960,Sons and Lovers,0
1960,Never on Sunday,0
1960,Psycho,0
1960,The Sundowners,0
1961,West Side Story,1
1961,La Dolce Vita,0
1961,Judgment at Nuremberg,0
1961,The Hustler,0
1961,The Guns of Navarone,0
1962,Lawrence of Arabia,1
1962,Divorce Italian Style,0
1962,To Kill a Mockingbird,0
1962,The Miracle Worker,0
1962,David and Lisa,0
1963,Tom Jones,1
1963,8½,0
1963,America America,0
1963,The Cardinal,0
1963,Hud,0
1964,My Fair Lady,1
1964,Zorba the Greek,0
1964,Becket,0
1964,Dr. Strangelove,0
1964,Mary Poppins,0
1965,The Sound of Music,1
1965,Doctor Zhivago,0
1965,Darling,0
1965,Woman in the Dunes,0
1965,The Collector,0
1966,A Man for All Seasons,1
1966,Blowup,0
1966,The Professionals,0
1966,A Man and a Woman,0
1966,Who's Afraid of Virginia Woolf?,0
1967,The Graduate,1
1967,In Cold Blood,0
1967,In the Heat of the Night,0
1967,Guess Who's Coming to Dinner,0
1967,Bonnie and Clyde,0
1968,Oliver!,1
1968,The Lion in Winter,0
1968,2001: A Space Odyssey,0
1968,The Battle of Algiers,0
1968,Romeo and Juliet,0
1969,Midnight Cowboy,1
1969,Z,0
1969,Butch Cassidy and the Sundance Kid,0
1969,Alice's Restaurant,0
1969,"They Shoot Horses, Don't They?",0
1970,Patton,1
1970,M*A*S*H,0
1970,Fellini Satyricon,0
1970,Love Story,0
1970,Women in Love,0
1971,The French Connection,1
1971,The Last Picture Show,0
1971,Fiddler on the Roof,0
1971,A Clockwork Orange,0
1971,Sunday Bloody Sunday,0
1972,Cabaret,1
1972,Deliverance,0
1972,The Godfather,0
1972,Sleuth,0
1972,The Emigrants,0
1973,The Sting,1
1973,Cries and Whispers,0
1973,Last Tango in Paris,0
1973,The Exorcist,0
1973,American Graffiti,0
1974,The Godfather Part II,1
1974,A Woman Under the Influence,0
1974,Lenny,0
1974,Chinatown,0
1974,Day for Night,0
1975,One Flew Over the Cuckoo's Nest,1
1975,Nashville,0
1975,Amarcord,0
1975,Barry Lyndon,0
1975,Dog Day Afternoon,0
1976,Rocky,1
1976,Face to Face,0
1976,Network,0
1976,All the President's Men,0
1976,Seven Beauties,0
1977,Annie Hall,1
1977,Star Wars,0
1977,The Turning Point,0
1977,Close Encounters of the Third Kind,0
1977,Julia,0
1978,The Deer Hunter,1
1978,Interiors,0
1978,Coming Home,0
1978,Heaven Can Wait,0
1978,Midnight Express,0
1979,Kramer vs. Kramer,1
1979,Apocalypse Now,0
1979,All That Jazz,0
1979,La Cage aux Folles,0
1979,Breaking Away,0
1980,Ordinary People,1
1980,The Elephant Man,0
1980,Tess,0
1980,The Stunt Man,0
1980,Raging Bull,0
1981,Reds,1
1981,Chariots of Fire,0
1981,Atlantic City,0
1981,On Golden Pond,0
1981,Raiders of the Lost Ark,0
1982,Gandhi,1
1982,The Verdict,0
1982,Das Boot,0
1982,Tootsie,0
1982,E.T. the Extra-Terrestrial,0
1983,Terms of Endearment,1
1983,Tender Mercies,0
1983,Fanny and Alexander,0
1983,Silkwood,0
1983,The Dresser,0
1984,Amadeus,1
1984,Broadway Danny Rose,0
1984,Places in the Heart,0
1984,The Killing Fields,0
1984,A Passage to India,0
1985,Out of Africa,1
1985,Kiss of the Spider Woman,0
1985,Prizzi's Honor,0
1985,Ran,0
1985,Witness,0
1986,Platoon,1
1986,Hannah and Her Sisters,0
1986,A Room with a View,0
1986,The Mission,0
1986,Blue Velvet,0
1987,The Last Emperor,1
1987,Hope and Glory,0
1987,My Life as a Dog,0
1987,Moonstruck,0
1987,Fatal Attraction,0
1988,Rain Man,1
1988,A Fish Called Wanda,0
1988,Working Girl,0
1988,Mississippi Burning,0
1988,The Last Temptation of Christ,0
1989,Born on the Fourth of July,1
1989,Crimes and Misdemeanors,0
1989,Henry V,0
1989,My Left Foot,0
1989,Dead Poets Society,0
1990,Dances with Wolves,1
1990,The Godfather Part III,0
1990,The Grifters,0
1990,Reversal of Fortune,0
1990,Goodfellas,0
1991,The Silence of the Lambs,1
1991,Bugsy,0
1991,Thelma & Louise,0
1991,Boyz n the Hood,0
1991,JFK,0
1992,Unforgiven,1
1992,The Player,0
1992,Scent of a Woman,0
1992,Howards End,0
1992,The Crying Game,0
1993,Schindler's List,1
1993,Short Cuts,0
1993,The Piano,0
1993,The Remains of the Day,0
1993,In the Name of the Father,0
1994,Forrest Gump,1
1994,Bullets over Broadway,0
1994,Three Colours: Red,0
1994,Quiz Show,0
1994,Pulp Fiction,0
1995,Braveheart,1
1995,Leaving Las Vegas,0
1995,Babe,0
1995,Il Postino: The Postman,0
1995,Dead Man Walking,0
1996,The English Patient,1
1996,Fargo,0
1996,The People vs. Larry Flynt,0
1996,Shine,0
1996,Secrets & Lies,0
1997,Titanic,1
1997,The Full Monty,0
1997,The Sweet Hereafter,0
1997,L.A. Confidential,0
1997,Good Will Hunting,0
1998,Saving Private Ryan,1
1998,Life Is Beautiful,0
1998,Shakespeare in Love,0
1998,The Thin Red Line,0
1998,The Truman Show,0
1999,American Beauty,1
1999,The Cider House Rules,0
1999,Being John Malkovich,0
1999,The Insider,0
1999,The Sixth Sense,0
2000,Traffic,1
2000,Billy Elliot,0
2000,"Crouching Tiger, Hidden Dragon",0
2000,Gladiator,0
2000,Erin Brockovich,0
2001,A Beautiful Mind,1
2001,Gosford Park,0
2001,The Lord of the Rings: The Fellowship of the Ring,0
2001,Mulholland Drive,0
2001,Black Hawk Down,0
2002,The Pianist,1
2002,Talk to Her,0
2002,The Hours,0
2002,Chicago,0
2002,Gangs of New York,0
2003,The Lord of the Rings: The Return of the King,1
2003,Lost in Translation,0
2003,Mystic River,0
2003,City of God,0
2003,Master and Commander: The Far Side of the World,0
2004,Million Dollar Baby,1
2004,Ray,0
2004,Vera Drake,0
2004,Sideways,0
2004,The Aviator,0
2005,Brokeback Mountain,1
2005,"Good Night, and Good Luck",0
2005,Crash,0
2005,Capote,0
2005,Munich,0
2006,The Departed,1
2006,Letters from Iwo Jima,0
2006,The Queen,0
2006,United 93,0
2006,Babel,0
2007,No Country for Old Men,1
2007,There Will Be Blood,0
2007,Michael Clayton,0
2007,Juno,0
2007,The Diving Bell and the Butterfly,0
2008,Slumdog Millionaire,1
2008,The Reader,0
2008,The Curious Case of Benjamin Button,0
2008,Frost/Nixon,0
2008,Milk,0
2009,The Hurt Locker,1
2009,Avatar,0
2009,Precious,0
2009,Up in the Air,0
2009,Inglourious Basterds,0
2010,The King's Speech,1
2010,Black Swan,0
2010,True Grit,0
2010,The Social Network,0
2010,The Fighter,0
2011,The Artist,1
2011,Midnight in Paris,0
2011,The Tree of Life,0
2011,The Descendants,0
2011,Hugo,0
2012,Life of Pi,1
2012,Amour,0
2012,Silver Linings Playbook,0
2012,Lincoln,0
2012,Beasts of the Southern Wild,0
2013,Gravity,1
2013,12 Years a Slave,0
2013,Nebraska,0
2013,American Hustle,0
2013,The Wolf of Wall Street,0
2014,Birdman,1
2014,The Grand Budapest Hotel,0
2014,Boyhood,0
2014,Foxcatcher,0
2014,The Imitation Game,0
2015 ,The Revenant,1
2015 ,Room,0
2015 ,Spotlight,0
2015 ,The Big Short,0
2015 ,Mad Max: Fury Road,0
2016 ,La La Land,1
2016 ,Hacksaw Ridge,0
2016 ,Moonlight,0
2016 ,Manchester by the Sea,0
2016 ,Arrival,0
2017 ,The Shape of Water,1
2017 ,Phantom Thread,0
2017 ,Lady Bird,0
2017 ,Dunkirk,0
2017 ,Get Out,0
2018 ,Roma,1
2018 ,The Favourite,0
2018 ,BlacKkKlansman,0
2018 ,Vice,0
2018 ,Cold War,0
1928,7th Heaven,1
1928,Glorious Betsy,0
1928,The Jazz Singer,0
1929,The Patriot,1
1929,The Cop,0
1929,In Old Arizona,0
1929,The Last of Mrs. Cheyney,0
1929,The Leatherneck,0
1929,Our Dancing Daughters,0
1929,Sal of Singapore,0
1929,Skyscraper,0
1929,The Valiant,0
1929,A Woman of Affairs,0
1929,Wonder of Women,0
1929,Film,0
1930,The Big House,1
1930,All Quiet on the Western Front,0
1930,Disraeli,0
1930,The Divorcee,0
1930,Street of Chance,0
1931,Cimarron,1
1931,The Criminal Code,0
1931,Holiday,0
1931,Little Caesar,0
1931,Skippy,0
1932,Bad Girl,1
1932,Arrowsmith,0
1932,Dr. Jekyll and Mr. Hyde,0
1933,Little Women,1
1933,Lady for a Day,0
1933,State Fair,0
1934,It Happened One Night,1
1934,The Thin Man,0
1934,Viva Villa!,0
1935,The Informer,1
1935,The Lives of a Bengal Lancer,0
1935,Mutiny on the Bounty,0
1936,The Story of Louis Pasteur,1
1936,After the Thin Man,0
1936,Dodsworth,0
1936,Mr. Deeds Goes to Town,0
1936,My Man Godfrey,0
1937,The Life of Emile Zola,1
1937,The Awful Truth,0
1937,Captains Courageous,0
1937,Stage Door,0
1937,A Star Is Born,0
1938,Pygmalion,1
1938,Boys Town,0
1938,The Citadel,0
1938,Four Daughters,0
1938,You Can't Take It with You,0
1939,Gone with the Wind,1
1939,"Goodbye, Mr. Chips",0
1939,Mr. Smith Goes to Washington,0
1939,Ninotchka,0
1939,Wuthering Heights,0
1939,Film,0
1940,The Philadelphia Story,1
1940,The Grapes of Wrath,0
1940,Kitty Foyle,0
1940,The Long Voyage Home,0
1940,Rebecca,0
1941,Here Comes Mr. Jordan,1
1941,Hold Back the Dawn,0
1941,How Green Was My Valley,0
1941,The Little Foxes,0
1941,The Maltese Falcon,0
1942,Mrs. Miniver,1
1942,The Invaders,0
1942,The Pride of the Yankees,0
1942,Random Harvest,0
1942,The Talk of the Town,0
1943,Casablanca,1
1943,Holy Matrimony,0
1943,The More the Merrier,0
1943,The Song of Bernadette,0
1943,Watch on the Rhine,0
1944,Going My Way,1
1944,Double Indemnity,0
1944,Gaslight,0
1944,Laura,0
1944,Meet Me in St. Louis,0
1945,The Lost Weekend,1
1945,G. I. Joe,0
1945,Mildred Pierce,0
1945,Pride of the Marines,0
1945,A Tree Grows in Brooklyn,0
1946,The Best Years of Our Lives,1
1946,Anna and the King of Siam,0
1946,Brief Encounter,0
1946,The Killers,0
1946,"Rome, Open City",0
1947,Miracle on 34th Street,1
1947,Boomerang,0
1947,Crossfire,0
1947,Gentleman's Agreement,0
1947,Great Expectations,0
1948,The Treasure of the Sierra Madre,1
1948,A Foreign Affair,0
1948,Johnny Belinda,0
1948,The Search,0
1948,The Snake Pit,0
1949,A Letter to Three Wives,1
1949,All the King's Men,0
1949,The Bicycle Thief,0
1949,Champion,0
1949,The Fallen Idol,0
1949,Film,0
1950,All About Eve,1
1950,The Asphalt Jungle,0
1950,Born Yesterday,0
1950,Broken Arrow,0
1950,Father of the Bride,0
1951,A Place in the Sun,1
1951,The African Queen,0
1951,Detective Story,0
1951,La Ronde,0
1951,A Streetcar Named Desire,0
1952,The Bad and the Beautiful,1
1952,5 Fingers,0
1952,High Noon,0
1952,The Man in the White Suit,0
1952,The Quiet Man,0
1953,From Here to Eternity,1
1953,The Cruel Sea,0
1953,Lili,0
1953,Roman Holiday,0
1953,Shane,0
1954,The Country Girl,1
1954,The Caine Mutiny,0
1954,Rear Window,0
1954,Sabrina,0
1954,Seven Brides for Seven Brothers,0
1955,Marty,1
1955,Bad Day at Black Rock,0
1955,Blackboard Jungle,0
1955,East of Eden,0
1955,Love Me or Leave Me,0
1956,Around the World in 80 Days,1
1956,Baby Doll,0
1956,Friendly Persuasion,0
1956,Giant,0
1956,Lust for Life,0
1957,The Bridge on the River Kwai,1
1957,"Heaven Knows, Mr. Allison",0
1957,Peyton Place,0
1957,Sayonara,0
1957,12 Angry Men,0
1958,Gigi,1
1958,Cat on a Hot Tin Roof,0
1958,The Horse's Mouth,0
1958,I Want to Live!,0
1958,Separate Tables,0
1959,Room at the Top,1
1959,Anatomy of a Murder,0
1959,Ben-Hur,0
1959,The Nun's Story,0
1959,Some Like It Hot,0
1959,Film,0
1960,Elmer Gantry,1
1960,Inherit the Wind,0
1960,Sons and Lovers,0
1960,The Sundowners,0
1960,Tunes of Glory,0
1961,Judgment at Nuremberg,1
1961,Breakfast at Tiffany's,0
1961,The Guns of Navarone,0
1961,The Hustler,0
1961,West Side Story,0
1962,To Kill a Mockingbird,1
1962,David and Lisa,0
1962,Lawrence of Arabia,0
1962,Lolita,0
1962,The Miracle Worker,0
1963,Tom Jones,1
1963,"Captain Newman, M.D.",0
1963,Hud,0
1963,Lilies of the Field,0
1963,Sundays and Cybele,0
1964,Becket,1
1964,Dr. Strangelove,0
1964,Mary Poppins,0
1964,My Fair Lady,0
1964,Zorba the Greek,0
1965,Doctor Zhivago,1
1965,Cat Ballou,0
1965,The Collector,0
1965,Ship of Fools,0
1965,A Thousand Clowns,0
1966,A Man for All Seasons,1
1966,Alfie,0
1966,The Professionals,0
1966,"The Russians Are Coming, the Russians Are Coming",0
1966,Who's Afraid of Virginia Woolf?,0
1967,In the Heat of the Night,1
1967,Cool Hand Luke,0
1967,The Graduate,0
1967,In Cold Blood,0
1967,Ulysses,0
1968,The Lion in Winter,1
1968,The Odd Couple,0
1968,Oliver!,0
1968,"Rachel, Rachel",0
1968,Rosemary's Baby,0
1969,Midnight Cowboy,1
1969,Anne of the Thousand Days,0
1969,"Goodbye, Columbus",0
1969,"They Shoot Horses, Don't They?",0
1969,Z,0
1969,Film,0
1970,M*A*S*H,1
1970,Airport,0
1970,I Never Sang for My Father,0
1970,Lovers and Other Strangers,0
1970,Women in Love,0
1971,The French Connection,1
1971,A Clockwork Orange,0
1971,The Conformist,0
1971,The Garden of the Finzi-Continis,0
1971,The Last Picture Show,0
1972,The Godfather,1
1972,Cabaret,0
1972,The Emigrants,0
1972,Pete 'n' Tillie,0
1972,Sounder,0
1973,The Exorcist,1
1973,The Last Detail,0
1973,The Paper Chase,0
1973,Paper Moon,0
1973,Serpico,0
1974,The Godfather Part II,1
1974,The Apprenticeship of Duddy Kravitz,0
1974,Lenny,0
1974,Murder on the Orient Express,0
1974,Young Frankenstein,0
1975,One Flew Over the Cuckoo's Nest,1
1975,Barry Lyndon,0
1975,The Man Who Would Be King,0
1975,Profumo di donna,0
1975,The Sunshine Boys,0
1976,All the President's Men,1
1976,Bound for Glory,0
1976,Fellini's Casanova,0
1976,The Seven-Per-Cent Solution,0
1976,Voyage of the Damned,0
1977,Julia,1
1977,Equus,0
1977,I Never Promised You a Rose Garden,0
1977,"Oh, God!",0
1977,That Obscure Object of Desire,0
1978,Midnight Express,1
1978,Bloodbrothers,0
1978,California Suite,0
1978,Heaven Can Wait,0
1978,"Same Time, Next Year",0
1979,Kramer vs. Kramer,1
1979,Apocalypse Now,0
1979,La Cage aux Folles,0
1979,A Little Romance,0
1979,Norma Rae,0
1980,Ordinary People,1
1980,Breaker Morant,0
1980,Coal Miner's Daughter,0
1980,The Elephant Man,0
1980,The Stunt Man,0
1981,On Golden Pond,1
1981,The French Lieutenant's Woman,0
1981,Pennies from Heaven,0
1981,Prince of the City,0
1981,Ragtime,0
1982,Missing,1
1982,Das Boot,0
1982,Sophie's Choice,0
1982,The Verdict,0
1982,Victor/Victoria,0
1983,Terms of Endearment,1
1983,Betrayal,0
1983,The Dresser,0
1983,Educating Rita,0
1983,"Reuben, Reuben",0
1984,Amadeus,1
1984,"Greystoke: The Legend of Tarzan, Lord of the Apes",0
1984,The Killing Fields,0
1984,A Passage to India,0
1984,A Soldier's Story,0
1985,Out of Africa,1
1985,The Color Purple,0
1985,Kiss of the Spider Woman,0
1985,Prizzi's Honor,0
1985,The Trip to Bountiful,0
1986,A Room with a View,1
1986,Children of a Lesser God,0
1986,The Color of Money,0
1986,Crimes of the Heart,0
1986,Stand by Me,0
1987,The Last Emperor,1
1987,The Dead,0
1987,Fatal Attraction,0
1987,Full Metal Jacket,0
1987,My Life as a Dog,0
1988,Dangerous Liaisons,1
1988,The Accidental Tourist,0
1988,Gorillas in the Mist,0
1988,Little Dorrit,0
1988,The Unbearable Lightness of Being,0
1989,Driving Miss Daisy,1
1989,Born on the Fourth of July,0
1989,"Enemies, A Love Story",0
1989,Field of Dreams,0
1989,My Left Foot,0
1989,Film,0
1990,Dances with Wolves,1
1990,Awakenings,0
1990,Goodfellas,0
1990,The Grifters,0
1990,Reversal of Fortune,0
1991,The Silence of the Lambs,1
1991,Europa Europa,0
1991,Fried Green Tomatoes,0
1991,JFK,0
1991,The Prince of Tides,0
1992,Howards End,1
1992,Enchanted April,0
1992,The Player,0
1992,A River Runs Through It,0
1992,Scent of a Woman,0
1993,Schindler's List,1
1993,The Age of Innocence,0
1993,In the Name of the Father,0
1993,The Remains of the Day,0
1993,Shadowlands,0
1994,Forrest Gump,1
1994,The Madness of King George,0
1994,Nobody's Fool,0
1994,Quiz Show,0
1994,The Shawshank Redemption,0
1995,Sense and Sensibility,1
1995,Apollo 13,0
1995,Babe,0
1995,Leaving Las Vegas,0
1995,Il Postino: The Postman,0
1996,Sling Blade,1
1996,The Crucible,0
1996,The English Patient,0
1996,Hamlet,0
1996,Trainspotting,0
1997,L.A. Confidential,1
1997,Donnie Brasco,0
1997,The Sweet Hereafter,0
1997,Wag the Dog,0
1997,The Wings of the Dove,0
1998,Gods and Monsters,1
1998,Out of Sight,0
1998,Primary Colors,0
1998,A Simple Plan,0
1998,The Thin Red Line,0
1999,The Cider House Rules,1
1999,Election,0
1999,The Green Mile,0
1999,The Insider,0
1999,The Talented Mr. Ripley,0
2000,Traffic,1
2000,Chocolat,0
2000,"Crouching Tiger, Hidden Dragon",0
2000,"O Brother, Where Art Thou?",0
2000,Wonder Boys,0
2001,A Beautiful Mind,1
2001,Ghost World,0
2001,In the Bedroom,0
2001,The Lord of the Rings: The Fellowship of the Ring,0
2001,Shrek,0
2002,The Pianist,1
2002,About a Boy,0
2002,Adaptation,0
2002,Chicago,0
2002,The Hours,0
2003,The Lord of the Rings: The Return of the King,1
2003,American Splendor,0
2003,City of God,0
2003,Mystic River,0
2003,Seabiscuit,0
2004,Sideways,1
2004,Before Sunset,0
2004,Finding Neverland,0
2004,Million Dollar Baby,0
2004,The Motorcycle Diaries,0
2005,Brokeback Mountain,1
2005,Capote,0
2005,The Constant Gardener,0
2005,A History of Violence,0
2005,Munich,0
2006,The Departed,1
2006,Borat,0
2006,Children of Men,0
2006,Little Children,0
2006,Notes on a Scandal,0
2007,No Country for Old Men,1
2007,Atonement,0
2007,Away from Her,0
2007,The Diving Bell and the Butterfly,0
2007,There Will Be Blood,0
2008,Slumdog Millionaire,1
2008,The Curious Case of Benjamin Button,0
2008,Doubt,0
2008,Frost/Nixon,0
2008,The Reader,0
2009,Precious,1
2009,District 9,0
2009,An Education,0
2009,In the Loop,0
2009,Up in the Air,0
2010,The Social Network,1
2010,127 Hours,0
2010,Toy Story 3,0
2010,True Grit,0
2010,Winter's Bone,0
2011,The Descendants,1
2011,Hugo,0
2011,The Ides of March,0
2011,Moneyball,0
2011,Tinker Tailor Soldier Spy,0
2012,Argo,1
2012,Beasts of the Southern Wild,0
2012,Life of Pi,0
2012,Lincoln,0
2012,Silver Linings Playbook,0
2013,12 Years a Slave,1
2013,Before Midnight,0
2013,Captain Phillips,0
2013,Philomena,0
2013,The Wolf of Wall Street,0
2014,The Imitation Game,1
2014,American Sniper,0
2014,Inherent Vice,0
2014,The Theory of Everything,0
2014,Whiplash,0
2015,The Big Short,1
2015,Brooklyn,0
2015,Carol,0
2015,The Martian,0
2015,Room,0
2016,Moonlight,1
2016,Arrival,0
2016,Fences,0
2016,Hidden Figures,0
2016,Lion,0
2017,Call Me by Your Name,1
2017,The Disaster Artist,0
2017,Logan,0
2017,Molly's Game,0
2017,Mudbound,0
2018,BlacKkKlansman,1
2018,The Ballad of Buster Scruggs,0
2018,Can You Ever Forgive Me?,0
2018,If Beale Street Could Talk,0
2018,A Star Is Born,0
1934,Eskimo,1
1934,Cleopatra,0
1934,One Night of Love,0
1935,A Midsummer Night's Dream,1
1935,David Copperfield,0
1935,The Informer,0
1935,Les Misérables,0
1935,The Lives of a Bengal Lancer,0
1935,Mutiny on the Bounty,0
1936,Anthony Adverse,1
1936,Come and Get It,0
1936,The Great Ziegfeld,0
1936,Lloyd's of London,0
1936,A Tale of Two Cities,0
1936,Theodora Goes Wild,0
1937,Lost Horizon,1
1937,The Awful Truth,0
1937,Captains Courageous,0
1937,The Good Earth,0
1937,One Hundred Men and a Girl,0
1938,The Adventures of Robin Hood,1
1938,Alexander's Ragtime Band,0
1938,The Great Waltz,0
1938,Test Pilot,0
1938,You Can't Take It with You,0
1939,Gone with the Wind,1
1939,"Goodbye, Mr. Chips",0
1939,Mr. Smith Goes to Washington,0
1939,The Rains Came,0
1939,Stagecoach,0
1940,North West Mounted Police,1
1940,The Grapes of Wrath,0
1940,The Letter,0
1940,The Long Voyage Home,0
1940,Rebecca,0
1941,Sergeant York,1
1941,Citizen Kane,0
1941,Dr. Jekyll and Mr. Hyde,0
1941,How Green Was My Valley,0
1941,The Little Foxes,0
1942,The Pride of the Yankees,1
1942,Mrs. Miniver,0
1942,The Talk of the Town,0
1942,This Above All,0
1942,Yankee Doodle Dandy,0
1943,Air Force,1
1943,Casablanca,0
1943,Five Graves to Cairo,0
1943,For Whom the Bell Tolls,0
1943,The Song of Bernadette,0
1944,Wilson,1
1944,Going My Way,0
1944,Janie,0
1944,None but the Lonely Heart,0
1944,Since You Went Away,0
1945,National Velvet,1
1945,The Bells of St. Mary's,0
1945,The Lost Weekend,0
1945,"Objective, Burma!",0
1945,A Song to Remember,0
1946,The Best Years of Our Lives,1
1946,It's a Wonderful Life,0
1946,The Jolson Story,0
1946,The Killers,0
1946,The Yearling,0
1947,Body and Soul,1
1947,The Bishop's Wife,0
1947,Gentleman's Agreement,0
1947,Green Dolphin Street,0
1947,Odd Man Out,0
1948,The Naked City,1
1948,Joan of Arc,0
1948,Johnny Belinda,0
1948,Red River,0
1948,The Red Shoes,0
1949,Champion,1
1949,All the King's Men,0
1949,Battleground,0
1949,Sands of Iwo Jima,0
1949,The Window,0
1950,King Solomon's Mines,1
1950,All About Eve,0
1950,Annie Get Your Gun,0
1950,Sunset Boulevard,0
1950,The Third Man,0
1951,A Place in the Sun,1
1951,An American in Paris,0
1951,Decision Before Dawn,0
1951,Quo Vadis,0
1951,The Well,0
1952,High Noon,1
1952,"Come Back, Little Sheba",0
1952,Flat Top,0
1952,The Greatest Show on Earth,0
1952,Moulin Rouge,0
1953,From Here to Eternity,1
1953,Crazylegs,0
1953,The Moon Is Blue,0
1953,Roman Holiday,0
1953,The War of the Worlds,0
1954,On the Waterfront,1
1954,The Caine Mutiny,0
1954,The High and the Mighty,0
1954,Seven Brides for Seven Brothers,0
1954,"20,000 Leagues Under the Sea",0
1955,Picnic,1
1955,Blackboard Jungle,0
1955,The Bridges at Toko-Ri,0
1955,Oklahoma!,0
1955,The Rose Tattoo,0
1956,Around the World in 80 Days,1
1956,The Brave One,0
1956,Giant,0
1956,Somebody Up There Likes Me,0
1956,The Ten Commandments,0
1957,The Bridge on the River Kwai,1
1957,Gunfight at the O.K. Corral,0
1957,Pal Joey,0
1957,Sayonara,0
1957,Witness for the Prosecution,0
1958,Gigi,1
1958,Auntie Mame,0
1958,Cowboy,0
1958,The Defiant Ones,0
1958,I Want to Live!,0
1959,Ben-Hur,1
1959,Anatomy of a Murder,0
1959,North by Northwest,0
1959,The Nun's Story,0
1959,On the Beach,0
1960,The Apartment,1
1960,The Alamo,0
1960,Inherit the Wind,0
1960,Pepe,0
1960,Spartacus,0
1961,West Side Story,1
1961,Fanny,0
1961,The Guns of Navarone,0
1961,Judgment at Nuremberg,0
1961,The Parent Trap,0
1962,Lawrence of Arabia,1
1962,The Longest Day,0
1962,The Manchurian Candidate,0
1962,The Music Man,0
1962,Mutiny on the Bounty,0
