Year,Film,winner
1963,Tom Jones,1
1963,America America,0
1963,Cleopatra,0
1963,How the West Was Won,0
1963,Lilies of the Field,0
1964,My Fair Lady,1
1964,Becket,0
1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0
1964,Mary Poppins,0
1964,Zorba the Greek,0
1965,The Sound of Music,1
1965,Darling,0
1965,Doctor Zhivago,0
1965,Ship of Fools,0
1965,A Thousand Clowns,0
1966,A Man for All Seasons,1
1966,Alfie,0
1966,"The Russians Are Coming, the Russians Are Coming",0
1966,The Sand Pebbles,0
1966,Who's Afraid of Virginia Woolf?,0
1967,In the Heat of the Night,1
1967,Bonnie and Clyde,0
1967,Doctor Dolittle,0
1967,The Graduate,0
1967,Guess Who's Coming to Dinner,0
1968,Oliver!,1
1968,Funny Girl,0
1968,The Lion in Winter,0
1968,"Rachel, Rachel",0
1968,Romeo and Juliet,0
1969,Midnight Cowboy,1
1969,Anne of the Thousand Days,0
1969,Butch Cassidy and the Sundance Kid,0
1969,"Hello, Dolly!",0
1969,Z,0
1970,Patton,1
1970,Airport,0
1970,Five Easy Pieces,0
1970,Love Story,0
1970,MASH,0
1971,The French Connection,1
1971,A Clockwork Orange,0
1971,Fiddler on the Roof,0
1971,The Last Picture Show,0
1971,Nicholas and Alexandra,0
1972,The Godfather,1
1972,Cabaret,0
1972,Deliverance,0
1972,The Emigrants,0
1972,Sounder,0
1973,The Sting,1
1973,American Graffiti,0
1973,Cries and Whispers,0
1973,The Exorcist,0
1973,A Touch of Class,0
1974,The Godfather Part II,1
1974,Chinatown,0
1974,The Conversation,0
1974,Lenny,0
1974,The Towering Inferno,0
1975,One Flew Over the Cuckoo's Nest,1
1975,Barry Lyndon,0
1975,Dog Day Afternoon,0
1975,Jaws,0
1975,Nashville,0
1976,Rocky,1
1976,All the President's Men,0
1976,Bound for Glory,0
1976,Network,0
1976,Taxi Driver,0
1977,Annie Hall,1
1977,The Goodbye Girl,0
1977,Julia,0
1977,Star Wars,0
1977,The Turning Point,0
1978,The Deer Hunter,1
1978,Coming Home,0
1978,Heaven Can Wait,0
1978,Midnight Express,0
1978,An Unmarried Woman,0
1979,Kramer vs. Kramer,1
1979,All That Jazz,0
1979,Apocalypse Now,0
1979,Breaking Away,0
1979,Norma Rae,0
1980,Ordinary People,1
1980,Coal Miner's Daughter,0
1980,The Elephant Man,0
1980,Raging Bull,0
1980,Tess,0
1981,Chariots of Fire,1
1981,Atlantic City,0
1981,On Golden Pond,0
1981,Raiders of the Lost Ark,0
1981,Reds,0
1982,Gandhi,1
1982,E.T. the Extra-Terrestrial,0
1982,Missing,0
1982,Tootsie,0
1982,The Verdict,0
1983,Terms of Endearment,1
1983,The Big Chill,0
1983,The Dresser,0
1983,The Right Stuff,0
1983,Tender Mercies,0
1984,Amadeus,1
1984,The Killing Fields,0
1984,A Passage to India,0
1984,Places in the Heart,0
1984,A Soldier's Story,0
1985,Out of Africa,1
1985,The Color Purple,0
1985,Kiss of the Spider Woman,0
1985,Prizzi's Honor,0
1985,Witness,0
1986,Platoon,1
1986,Children of a Lesser God,0
1986,Hannah and Her Sisters,0
1986,The Mission,0
1986,A Room with a View,0
1987,The Last Emperor,1
1987,Broadcast News,0
1987,Fatal Attraction,0
1987,Hope and Glory,0
1987,Moonstruck,0
1988,Rain Man,1
1988,The Accidental Tourist,0
1988,Dangerous Liaisons,0
1988,Mississippi Burning,0
1988,Working Girl,0
1989,Driving Miss Daisy,1
1989,Born on the Fourth of July,0
1989,Dead Poets Society,0
1989,Field of Dreams,0
1989,My Left Foot,0
1990,Dances with Wolves,1
1990,Awakenings,0
1990,Ghost,0
1990,The Godfather Part III,0
1990,Goodfellas,0
1991,The Silence of the Lambs,1
1991,Beauty and the Beast,0
1991,Bugsy,0
1991,JFK,0
1991,The Prince of Tides,0
1992,Unforgiven,1
1992,The Crying Game,0
1992,A Few Good Men,0
1992,Howards End,0
1992,Scent of a Woman,0
1993,Schindler's List,1
1993,The Fugitive,0
1993,In the Name of the Father,0
1993,The Piano,0
1993,The Remains of the Day,0
1994,Forrest Gump,1
1994,Four Weddings and a Funeral,0
1994,Pulp Fiction,0
1994,Quiz Show,0
1994,The Shawshank Redemption,0
1995,Braveheart,1
1995,Apollo 13,0
1995,Babe,0
1995,The Postman (Il Postino),0
1995,Sense and Sensibility,0
1996,The English Patient,1
1996,Fargo,0
1996,Jerry Maguire,0
1996,Secrets & Lies,0
1996,Shine,0
1997,Titanic,1
1997,As Good as It Gets,0
1997,The Full Monty,0
1997,Good Will Hunting,0
1997,L.A. Confidential,0
1998,Shakespeare in Love,1
1998,Elizabeth,0
1998,Life Is Beautiful,0
1998,Saving Private Ryan,0
1998,The Thin Red Line,0
1999,American Beauty,1
1999,The Cider House Rules,0
1999,The Green Mile,0
1999,The Insider,0
1999,The Sixth Sense,0
2000,Gladiator,1
2000,Chocolat,0
2000,"Crouching Tiger, Hidden Dragon",0
2000,Erin Brockovich,0
2000,Traffic,0
2001,A Beautiful Mind,1
2001,Gosford Park,0
2001,In the Bedroom,0
2001,The Lord of the Rings: The Fellowship of the Ring,0
2001,Moulin Rouge!,0
2002,Chicago,1
2002,Gangs of New York,0
2002,The Hours,0
2002,The Lord of the Rings: The Two Towers,0
2002,The Pianist,0
2003,The Lord of the Rings: The Return of the King,1
2003,Lost in Translation,0
2003,Master and Commander: The Far Side of the World,0
2003,Mystic River,0
2003,Seabiscuit,0
2004,Million Dollar Baby,1
2004,The Aviator,0
2004,Finding Neverland,0
2004,Ray,0
2004,Sideways,0
2005,Crash,1
2005,Brokeback Mountain,0
2005,Capote,0
2005,"Good Night, and Good Luck",0
2005,Munich,0
2006,The Departed,1
2006,Babel,0
2006,Letters from Iwo Jima,0
2006,Little Miss Sunshine,0
2006,The Queen,0
2007,No Country for Old Men,1
2007,Atonement,0
2007,Juno,0
2007,Michael Clayton,0
2007,There Will Be Blood,0
2008,Slumdog Millionaire,1
2008,The Curious Case of Benjamin Button,0
2008,Frost/Nixon,0
2008,Milk,0
2008,The Reader,0
2009,The Hurt Locker,1
2009,Avatar,0
2009,The Blind Side,0
2009,District 9,0
2009,An Education,0
2009,Inglourious Basterds,0
2009,Precious: Based on the Novel 'Push' by Sapphire,0
2009,A Serious Man,0
2009,Up,0
2009,Up in the Air,0
2010,The King's Speech,1
2010,127 Hours,0
2010,Black Swan,0
2010,The Fighter,0
2010,Inception,0
2010,The Kids Are All Right,0
2010,The Social Network,0
2010,Toy Story 3,0
2010,True Grit,0
2010,Winter's Bone,0
2011,The Artist,1
2011,The Descendants,0
2011,Extremely Loud & Incredibly Close,0
2011,The Help,0
2011,Hugo,0
2011,Midnight in Paris,0
2011,Moneyball,0
2011,The Tree of Life,0
2011,War Horse,0
2012,Argo,1
2012,Amour,0
2012,Beasts of the Southern Wild,0
2012,Django Unchained,0
2012,Les Misérables,0
2012,Life of Pi,0
2012,Lincoln,0
2012,Silver Linings Playbook,0
2012,Zero Dark Thirty,0
2013,12 Years a Slave,1
2013,American Hustle,0
2013,Captain Phillips,0
2013,Dallas Buyers Club,0
2013,Gravity,0
2013,Her,0
2013,Nebraska,0
2013,Philomena,0
2013,The Wolf of Wall Street,0
2014,Birdman or (The Unexpected Virtue of Ignorance),1
2014,American Sniper,0
2014,Boyhood,0
2014,The Grand Budapest Hotel,0
2014,The Imitation Game,0
2014,Selma,0
2014,The Theory of Everything,0
2014,Whiplash,0
2015,Spotlight,1
2015,The Big Short,0
2015,Bridge of Spies,0
2015,Brooklyn,0
2015,Mad Max: Fury Road,0
2015,The Martian,0
2015,The Revenant,0
2015,Room,0
2016,Moonlight,1
2016,Arrival,0
2016,Fences,0
2016,Hacksaw Ridge,0
2016,Hell or High Water,0
2016,Hidden Figures,0
2016,La La Land,0
2016,Lion,0
2016,Manchester by the Sea,0
2017,The Shape of Water,1
2017,Call Me by Your Name,0
2017,Darkest Hour,0
2017,Dunkirk,0
2017,Get Out,0
2017,Lady Bird,0
2017,Phantom Thread,0
2017,The Post,0
2017,"Three Billboards Outside Ebbing, Missouri",0
2018,Green Book,1
2018,Black Panther,0
2018,BlacKkKlansman,0
2018,Bohemian Rhapsody,0
2018,The Favourite,0
2018,Roma,0
2018,A Star Is Born,0
2018,Vice,0
